t,group,first_shot_rate,immun_gain,immun_loss,rel_inf_prob_mult,pS_mult,hosp_mult,dnh_mult,dh_mult
65,0-19,0,0,0,1,1,1,1,1
65,20-39,0,0,0,1,1,1,1,1
65,40-64,0,0,0,1,1,1,1,1
65,65+,0,0,0,1,1,1,1,1
66,0-19,0,0,0,1,1,1,1,1
66,20-39,0,0,0,1,1,1,1,1
66,40-64,0,0,0,1,1,1,1,1
66,65+,0,0,0,1,1,1,1,1
67,0-19,0,0,0,1,1,1,1,1
67,20-39,0,0,0,1,1,1,1,1
67,40-64,0,0,0,1,1,1,1,1
67,65+,0,0,0,1,1,1,1,1
68,0-19,0,0,0,1,1,1,1,1
68,20-39,0,0,0,1,1,1,1,1
68,40-64,0,0,0,1,1,1,1,1
68,65+,0,0,0,1,1,1,1,1
69,0-19,0,0,0,1,1,1,1,1
69,20-39,0,0,0,1,1,1,1,1
69,40-64,0,0,0,1,1,1,1,1
69,65+,0,0,0,1,1,1,1,1
70,0-19,0,0,0,1,1,1,1,1
70,20-39,0,0,0,1,1,1,1,1
70,40-64,0,0,0,1,1,1,1,1
70,65+,0,0,0,1,1,1,1,1
71,0-19,0,0,0,1,1,1,1,1
71,20-39,0,0,0,1,1,1,1,1
71,40-64,0,0,0,1,1,1,1,1
71,65+,0,0,0,1,1,1,1,1
72,0-19,0,0,0,1,1,1,1,1
72,20-39,0,0,0,1,1,1,1,1
72,40-64,0,0,0,1,1,1,1,1
72,65+,0,0,0,1,1,1,1,1
73,0-19,0,0,0,1,1,1,1,1
73,20-39,0,0,0,1,1,1,1,1
73,40-64,0,0,0,1,1,1,1,1
73,65+,0,0,0,1,1,1,1,1
74,0-19,0,0,0,1,1,1,1,1
74,20-39,0,0,0,1,1,1,1,1
74,40-64,0,0,0,1,1,1,1,1
74,65+,0,0,0,1,1,1,1,1
75,0-19,0,0,0,1,1,1,1,1
75,20-39,0,0,0,1,1,1,1,1
75,40-64,0,0,0,1,1,1,1,1
75,65+,0,0,0,1,1,1,1,1
76,0-19,0,0,0,1,1,1,1,1
76,20-39,0,0,0,1,1,1,1,1
76,40-64,0,0,0,1,1,1,1,1
76,65+,0,0,0,1,1,1,1,1
77,0-19,0,0,0,1,1,1,1,1
77,20-39,0,0,0,1,1,1,1,1
77,40-64,0,0,0,1,1,1,1,1
77,65+,0,0,0,1,1,1,1,1
78,0-19,0,0,0,1,1,1,1,1
78,20-39,0,0,0,1,1,1,1,1
78,40-64,0,0,0,1,1,1,1,1
78,65+,0,0,0,1,1,1,1,1
79,0-19,0,0,0,1,1,1,1,1
79,20-39,0,0,0,1,1,1,1,1
79,40-64,0,0,0,1,1,1,1,1
79,65+,0,0,0,1,1,1,1,1
80,0-19,0,0,0,1,1,1,1,1
80,20-39,0,0,0,1,1,1,1,1
80,40-64,0,0,0,1,1,1,1,1
80,65+,0,0,0,1,1,1,1,1
81,0-19,0,0,0,1,1,1,1,1
81,20-39,0,0,0,1,1,1,1,1
81,40-64,0,0,0,1,1,1,1,1
81,65+,0,0,0,1,1,1,1,1
82,0-19,0,0,0,1,1,1,1,1
82,20-39,0,0,0,1,1,1,1,1
82,40-64,0,0,0,1,1,1,1,1
82,65+,0,0,0,1,1,1,1,1
83,0-19,0,0,0,1,1,1,1,1
83,20-39,0,0,0,1,1,1,1,1
83,40-64,0,0,0,1,1,1,1,1
83,65+,0,0,0,1,1,1,1,1
84,0-19,0,0,0,1,1,1,1,1
84,20-39,0,0,0,1,1,1,1,1
84,40-64,0,0,0,1,1,1,1,1
84,65+,0,0,0,1,1,1,1,1
85,0-19,0,0,0,1,1,1,1,1
85,20-39,0,0,0,1,1,1,1,1
85,40-64,0,0,0,1,1,1,1,1
85,65+,0,0,0,1,1,1,1,1
86,0-19,0,0,0,1,1,1,1,1
86,20-39,0,0,0,1,1,1,1,1
86,40-64,0,0,0,1,1,1,1,1
86,65+,0,0,0,1,1,1,1,1
87,0-19,0,0,0,1,1,1,1,1
87,20-39,0,0,0,1,1,1,1,1
87,40-64,0,0,0,1,1,1,1,1
87,65+,0,0,0,1,1,1,1,1
88,0-19,0,0,0,1,1,1,1,1
88,20-39,0,0,0,1,1,1,1,1
88,40-64,0,0,0,1,1,1,1,1
88,65+,0,0,0,1,1,1,1,1
89,0-19,0,0,0,1,1,1,1,1
89,20-39,0,0,0,1,1,1,1,1
89,40-64,0,0,0,1,1,1,1,1
89,65+,0,0,0,1,1,1,1,1
90,0-19,0,0,0,1,1,1,1,1
90,20-39,0,0,0,1,1,1,1,1
90,40-64,0,0,0,1,1,1,1,1
90,65+,0,0,0,1,1,1,1,1
91,0-19,0,0,0,1,1,1,1,1
91,20-39,0,0,0,1,1,1,1,1
91,40-64,0,0,0,1,1,1,1,1
91,65+,0,0,0,1,1,1,1,1
92,0-19,0,0,0,1,1,1,1,1
92,20-39,0,0,0,1,1,1,1,1
92,40-64,0,0,0,1,1,1,1,1
92,65+,0,0,0,1,1,1,1,1
93,0-19,0,0,0,1,1,1,1,1
